"fragment_id"	"area_ha"	"connectivity"
0	415.23	216145.450048198
1	4.68	2403.1566563388
2	4.46	3238.47181109945
3	11.05	4010.40450581714
6	14.54	8934.93059719805
8	34.55	35584.3419296458
9	0.52	1439.34105530188
10	114.42	83201.8202085592
11	7.94	14388.8185061385
12	0.05	242.365295613964
13	15.39	28635.8427011632
14	0.08	145.419443072666
15	0.8	1139.35930440105
16	3.22	3576.34133984257
17	0.15	84.5581197992319
18	0.11	67.7166969813758
19	0.82	1136.18597154452
20	0.57	841.4615756035
21	1.16	486.195478741545
22	0.26	265.47983500678
23	23.76	32754.5789185365
24	2.79	5099.79116434945
25	3.56	5946.42272152172
26	29.99	34382.5569251077
27	0.07	205.127432238388
28	1.59	2774.77578306239
29	5.33	13511.6910050839
30	0.17	462.236537835281
31	0.06	103.073482326178
32	0.32	1532.21194218744
33	3.86	9336.20200727065
34	14.22	24456.2163983478
35	2.29	5064.40720640621
36	0.55	1089.67645944569
37	4.41	5307.0005265622
38	1.67	2150.40916000922
39	0.78	797.670434361213
40	0.05	38.3223589275243
41	4.94	6702.53459630209
42	1.09	1722.38692533356
43	0.07	194.192761590594
44	3.08	3240.80731118023
45	2.17	3973.85419300762
46	4.03	1680.38456570561
47	0.56	1000.37488502491
48	0.88	665.876626745722
49	3.5	5898.5425692015
50	55.39	30496.5582150437
51	0.99	776.366201123046
52	0.49	789.103595985695
53	0.25	232.749650369429
54	0.08	140.870330118498
56	1.5	732.222080743516
57	6.32	1098.59515493306
58	3.58	1467.41537766975
59	3.17	1310.08317845472
61	0.8	410.808379579844
62	2	463.186806508533
63	0.51	376.329995553827
64	1.69	554.151942369182
66	35.47	49447.8052116621
67	0.53	1464.49479471039
69	0.54	2553.18677768692
70	1.28	4733.5239056135
71	0.04	194.96696162889
72	0.31	371.140361743224
73	0.55	2015.18457134523
74	88	93294.7206095814
75	26.14	28951.8083060138
1001	5.79	8703.37048594373
1002	16.97	7202.1101443593
1003	16.71	37334.5501037834
1004	13.67	23795.7807875402
1005	16.27	26019.7171672537
1006	9.06	16749.2882752744
1007	3.52	11719.9075837922
1008	4.21	5224.84555307147
1009	2.52	5373.73918285037
1010	3.43	7151.02880530981
1011	5.49	6466.92876540475
1012	2.98	122.998630482371
1013	7.04	1927.00299633776
1014	3.31	5709.4034297097
1015	8.84	11729.3278249077
1016	7.18	4333.00525129226
1017	7	3960.06515668365
1018	7.52	393.083925895729
1019	5.8	9853.69869000967
1020	6.57	19698.7004255663
1021	2.34	1485.30102832341
1022	27.47	52895.1160192815
1023	0.39	199.418342913936
1024	0.14	178.070425994078
1026	2.66	340.327262782023
1027	1.16	1794.43520977515
1028	0.26	479.186646684507
1029	0.52	751.487966973858
