"fragment_id"	"area_ha"	"connectivity"
0	416	216966.666170889
1	4.68	2439.01800344387
2	4.52	3296.28265696006
3	11.08	4002.26970686958
6	14.56	8634.907924292
8	34.32	35315.8384180928
9	0.52	1402.60265557803
10	114.68	83692.071345718
11	7.88	14108.3291829048
12	0.04	192.81879338154
13	15.4	29123.4696006537
14	0.08	146.500549899043
15	0.76	1041.06417345523
16	3.12	3517.87101151894
17	0.12	66.194783573222
18	0.12	74.9398865298523
19	0.76	1083.96891555127
20	0.68	987.91781903709
21	1.16	502.384530962247
22	0.24	236.537676343543
23	23.92	33078.0568113496
24	2.76	5093.40346909411
25	3.56	6062.30236604286
26	30.12	34019.7903788249
27	0.16	489.896310708651
28	1.6	2826.24217427138
29	5.28	13539.3165722748
30	0.24	641.931160997029
31	0.04	65.8772227101636
32	0.28	1385.87141956746
33	3.84	9400.76523445636
34	14.4	25239.0643744639
35	2.2	4870.07730986012
36	0.56	1123.75542701232
37	4.6	5624.54298639123
38	1.68	2335.84508658387
39	0.92	966.956622093823
40	0.04	31.9762837374379
41	4.84	6632.94108163855
42	1.16	1906.0067782895
43	0.08	217.271951900608
44	3.12	3290.00452822762
45	2.12	3866.10717912246
46	4.2	1803.70170166309
47	0.56	1048.29915462295
48	1	741.799439622206
49	3.56	6199.32486403504
50	55.64	31475.748309937
51	1	796.961958409701
52	0.44	731.071477758367
53	0.24	228.611517624004
54	0.08	142.647943334165
56	1.6	788.938232659568
57	6.48	1123.13625523963
58	3.52	1462.99522437514
59	3.12	1265.71367905352
61	0.76	408.5091622802
62	1.96	469.944324937762
63	0.52	406.165627047598
64	1.8	607.968040827417
66	35.68	49774.9264251855
67	0.56	1545.54880017493
69	0.48	2228.53410841756
70	1.36	5075.80340134082
71	0.04	197.589358863165
72	0.32	378.660678322433
73	0.6	2102.60735137216
74	88.6	95991.7409154415
75	26.08	28805.0631996295
1001	5.92	8933.68098031193
1002	16.96	7077.25451324962
1003	16.72	36985.0180844036
1004	13.6	23218.123051458
1005	16.28	26495.5362861224
1006	9.08	16955.8923258676
1007	3.48	11656.3373888314
1008	4.24	5200.88840223382
1009	2.6	5544.88764912289
1010	3.52	7310.50948490423
1011	5.64	6637.657745542
1012	2.96	121.189932803083
1013	7.08	1903.10689812465
1014	3.4	5865.66243200161
1015	9	11930.7475202053
1016	7.2	4345.87499402286
1017	6.88	3984.88469337539
1018	7.32	378.228630856227
1019	5.76	9716.51137184796
1020	6.68	20066.5300311564
1021	2.36	1443.08862940426
1022	27.56	53566.1290183738
1023	0.4	197.572955794282
1024	0.08	103.015975656187
1026	2.76	351.919237433634
1027	1.16	1744.10557552985
1028	0.24	441.626351054687
1029	0.44	640.113526687279
